ESRD -- 2011  REIMBURSEMENT FOR COST CONTRACTS FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
01000,ALABAMA                  ,AUTAUGA,0,0,0,,,,,,
01010,ALABAMA                  ,BALDWIN,0,0,0,,,,,,
01020,ALABAMA                  ,BARBOUR,0,0,0,,,,,,
01030,ALABAMA                  ,BIBB,0,0,0,,,,,,
01040,ALABAMA                  ,BLOUNT,0,0,0,,,,,,
01050,ALABAMA                  ,BULLOCK,0,0,0,,,,,,
01060,ALABAMA                  ,BUTLER,0,0,0,,,,,,
01070,ALABAMA                  ,CALHOUN,0,0,0,,,,,,
01080,ALABAMA                  ,CHAMBERS,0,0,0,,,,,,
01090,ALABAMA                  ,CHEROKEE,0,0,0,,,,,,
01100,ALABAMA                  ,CHILTON,0,0,0,,,,,,
01110,ALABAMA                  ,CHOCTAW,0,0,0,,,,,,
01120,ALABAMA                  ,CLARKE,0,0,0,,,,,,
01130,ALABAMA                  ,CLAY,0,0,0,,,,,,
01140,ALABAMA                  ,CLEBURNE,0,0,0,,,,,,
01150,ALABAMA                  ,COFFEE,0,0,0,,,,,,
01160,ALABAMA                  ,COLBERT,0,0,0,,,,,,
01170,ALABAMA                  ,CONECUH,0,0,0,,,,,,
01180,ALABAMA                  ,COOSA,0,0,0,,,,,,
01190,ALABAMA                  ,COVINGTON,0,0,0,,,,,,
01200,ALABAMA                  ,CRENSHAW,0,0,0,,,,,,
01210,ALABAMA                  ,CULLMAN,0,0,0,,,,,,
01220,ALABAMA                  ,DALE,0,0,0,,,,,,
01230,ALABAMA                  ,DALLAS,0,0,0,,,,,,
01240,ALABAMA                  ,DEKALB,0,0,0,,,,,,
01250,ALABAMA                  ,ELMORE,0,0,0,,,,,,
01260,ALABAMA                  ,ESCAMBIA,0,0,0,,,,,,
01270,ALABAMA                  ,ETOWAH,0,0,0,,,,,,
01280,ALABAMA                  ,FAYETTE,0,0,0,,,,,,
01290,ALABAMA                  ,FRANKLIN,0,0,0,,,,,,
01300,ALABAMA                  ,GENEVA,0,0,0,,,,,,
01310,ALABAMA                  ,GREENE,0,0,0,,,,,,
01320,ALABAMA                  ,HALE,0,0,0,,,,,,
01330,ALABAMA                  ,HENRY,0,0,0,,,,,,
01340,ALABAMA                  ,HOUSTON,0,0,0,,,,,,
01350,ALABAMA                  ,JACKSON,0,0,0,,,,,,
01360,ALABAMA                  ,JEFFERSON,"55,306","50,929","115,093",,,,,,
01370,ALABAMA                  ,LAMAR,0,0,0,,,,,,
01380,ALABAMA                  ,LAUDERDALE,0,0,0,,,,,,
01390,ALABAMA                  ,LAWRENCE,0,0,0,,,,,,
01400,ALABAMA                  ,LEE,0,0,0,,,,,,
01410,ALABAMA                  ,LIMESTONE,0,0,0,,,,,,
01420,ALABAMA                  ,LOWNDES,0,0,0,,,,,,
01430,ALABAMA                  ,MACON,0,0,0,,,,,,
01440,ALABAMA                  ,MADISON,0,0,0,,,,,,
01450,ALABAMA                  ,MARENGO,0,0,0,,,,,,
01460,ALABAMA                  ,MARION,0,0,0,,,,,,
01470,ALABAMA                  ,MARSHALL,0,0,0,,,,,,
01480,ALABAMA                  ,MOBILE,0,0,0,,,,,,
01490,ALABAMA                  ,MONROE,0,0,0,,,,,,
01500,ALABAMA                  ,MONTGOMERY,0,0,0,,,,,,
01510,ALABAMA                  ,MORGAN,0,0,0,,,,,,
